uri,id,birth_place,birth_date,language,recording_dates,subject_refs,interviewers,programs
/repositories/14/resources/9304,HVT-2188,,,eng,1993-07-21|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/38313|/subjects/26804|/subjects/39082|/subjects/24374|/subjects/28387|/subjects/36226|/subjects/40600|/subjects/25322|/subjects/23033|/subjects/30857|/subjects/24980|/subjects/32086|/subjects/34716|/subjects/32911|/subjects/35943|/subjects/35139|,/agents/people/40576|,/agents/corporate_entities/12966|
/repositories/14/resources/9557,HVT-2472,,,eng,1994-04-24|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/22554|/subjects/39082|/subjects/39681|/subjects/26684|/subjects/31037|/subjects/24343|/subjects/36833|/subjects/31104|/subjects/25317|/subjects/28871|/subjects/36052|/subjects/24980|/subjects/32086|/subjects/33303|/subjects/35139|,/agents/people/43647|/agents/people/70368|,/agents/corporate_entities/6622|
/repositories/14/resources/8780,HVT-2167,,,eng,1991-12-05|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/39971|/subjects/26179|/subjects/39298|/subjects/22646|/subjects/40072|/subjects/39324|/subjects/39426|/subjects/24980|/subjects/30490|/subjects/36018|/subjects/28759|/subjects/33303|/subjects/24343|/subjects/35139|/subjects/24496|/subjects/27363|/subjects/35324|,/agents/people/76652|/agents/people/40642|,/agents/corporate_entities/6714|
/repositories/14/resources/6509,HVT-8090,,,eng,2017|,,,
/repositories/14/resources/10060,HVT-2537,,,eng,1993-02-16|,/subjects/25264|/subjects/36885|/subjects/25470|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/36478|/subjects/41390|/subjects/28128|/subjects/39971|/subjects/39074|/subjects/40600|/subjects/40480|/subjects/26497|/subjects/27845|/subjects/22646|/subjects/29021|/subjects/41071|/subjects/24980|/subjects/32086|/subjects/31129|/subjects/36018|/subjects/30490|/subjects/23059|/subjects/35139|/subjects/35943|,/agents/people/40646|,/agents/corporate_entities/6633|
/repositories/14/resources/8549,HVT-3776,,,heb,1995-04-19|1995-06-02|1995-06-08|1995-11-10|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/39082|/subjects/37286|/subjects/29006|/subjects/23328|/subjects/26684|/subjects/25248|/subjects/28387|/subjects/40600|/subjects/38014|/subjects/23605|/subjects/25317|/subjects/22416|/subjects/23033|/subjects/26520|/subjects/38724|/subjects/24980|/subjects/32086|/subjects/30490|/subjects/23059|/subjects/35943|/subjects/35139|,,/agents/corporate_entities/12966|/agents/corporate_entities/6680|
/repositories/14/resources/7294,HVT-2864,,,eng,1994-03-17|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/33741|/subjects/22405|/subjects/29362|/subjects/41390|/subjects/36478|/subjects/30267|/subjects/31104|/subjects/23033|/subjects/30597|/subjects/29053|/subjects/24980|/subjects/30490|/subjects/32086|,/agents/people/62725|/agents/people/44050|,/agents/corporate_entities/6643|
/repositories/14/resources/9555,HVT-0859,,,eng,1991-10-27|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/36226|/subjects/37286|/subjects/36512|/subjects/24374|/subjects/31831|/subjects/40600|/subjects/26497|/subjects/33470|/subjects/24980|/subjects/29712|/subjects/30490|/subjects/28759|,/agents/people/80204|/agents/people/42023|/agents/people/48995|,/agents/corporate_entities/6657|
/repositories/14/resources/8010,HVT-3326,,,heb,1991-06-07|,/subjects/25651|/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/26804|/subjects/24806|/subjects/37286|/subjects/29006|/subjects/39681|/subjects/39082|/subjects/30915|/subjects/24374|/subjects/26684|/subjects/23300|/subjects/28387|/subjects/40649|/subjects/31583|/subjects/28291|/subjects/40600|/subjects/38014|/subjects/23033|/subjects/24980|/subjects/32086|/subjects/34716|/subjects/30490|/subjects/23059|/subjects/33303|/subjects/35139|/subjects/35943|,/agents/people/73436|/agents/people/40907|,/agents/corporate_entities/6624|/agents/corporate_entities/6680|
/repositories/14/resources/8044,HVT-4119,,,slo,1997-02-15|,/subjects/25264|/subjects/36885|/subjects/35425|/subjects/31833|/subjects/34631|/subjects/37286|/subjects/40943|/subjects/24639|/subjects/39082|/subjects/23510|/subjects/39040|/subjects/23869|/subjects/28160|/subjects/38780|/subjects/29664|/subjects/33957|/subjects/31533|/subjects/24287|/subjects/23385|/subjects/24980|/subjects/35714|/subjects/35139|,,/agents/corporate_entities/6663|
